,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
20,Michael Jordan,1991-92,28,CHI,NBA,17.7,80,80,3102,943,1818,916,1718,27,100,491,590,91,420,511,489,182,75,200,201,2404,0.519,0.533,0.27,0.526,0.832,0.579
21,Dirk Nowitzki,2005-06,27,DAL,NBA,17.7,81,81,3089,751,1564,641,1293,110,271,539,598,115,613,728,226,58,83,156,164,2151,0.48,0.496,0.406,0.515,0.901,0.589
22,David Robinson,1994-95,29,SAS,NBA,17.5,81,81,3074,788,1487,782,1467,6,20,656,847,234,643,877,236,134,262,233,230,2238,0.53,0.533,0.3,0.532,0.774,0.602
23,Charles Barkley,1989-90,26,PHI,NBA,17.3,79,79,3085,706,1177,686,1085,20,92,557,744,361,548,909,307,148,50,243,250,1989,0.6,0.632,0.217,0.608,0.749,0.661
24,Michael Jordan,1992-93,29,CHI,NBA,17.2,78,78,3067,992,2003,911,1773,81,230,476,569,135,387,522,428,221,61,207,188,2541,0.495,0.514,0.352,0.515,0.837,0.564
25,David Robinson,1990-91,25,SAS,NBA,17,82,81,3095,754,1366,753,1359,1,7,592,777,335,728,1063,208,127,320,270,264,2101,0.552,0.554,0.143,0.552,0.762,0.615
26,Michael Jordan,1986-87,23,CHI,NBA,16.9,82,82,3281,1098,2279,1086,2213,12,66,833,972,166,264,430,377,236,125,272,237,3041,0.482,0.491,0.182,0.484,0.857,0.562
27,Shaquille O'Neal,1993-94,21,ORL,NBA,16.9,81,81,3224,953,1591,953,1589,0,2,471,850,384,688,1072,195,76,231,222,281,2377,0.599,0.6,0,0.599,0.554,0.605
28,Charles Barkley,1987-88,24,PHI,NBA,16.7,80,80,3170,753,1283,709,1126,44,157,714,951,385,566,951,254,100,103,304,278,2264,0.587,0.63,0.28,0.604,0.751,0.665
29,Karl Malone,1996-97,33,UTA,NBA,16.7,82,82,2998,864,1571,864,1558,0,13,521,690,193,616,809,368,113,48,233,217,2249,0.55,0.555,0,0.55,0.755,0.6
30,Tim Duncan,2002-03,26,SAS,NBA,16.5,81,81,3181,714,1392,708,1370,6,22,450,634,259,784,1043,316,55,237,248,231,1884,0.513,0.517,0.273,0.515,0.71,0.564
31,Magic Johnson,1989-90,30,LAL,NBA,16.5,79,79,2937,546,1138,440,862,106,276,567,637,128,394,522,907,132,34,289,167,1765,0.48,0.51,0.384,0.526,0.89,0.622
32,James Harden,2014-15,25,HOU,NBA,16.4,81,81,2981,647,1470,439,915,208,555,715,824,75,384,459,565,154,60,321,208,2217,0.44,0.48,0.375,0.511,0.868,0.605
33,Karl Malone,1997-98,34,UTA,NBA,16.4,81,81,3030,780,1472,778,1466,2,6,628,825,189,645,834,316,96,70,247,237,2190,0.53,0.531,0.333,0.531,0.761,0.597
34,LeBron James,2005-06,21,CLE,NBA,16.3,79,79,3361,875,1823,748,1444,127,379,601,814,75,481,556,521,123,66,260,181,2478,0.48,0.518,0.335,0.515,0.738,0.568
35,Dirk Nowitzki,2006-07,28,DAL,NBA,16.3,78,78,2820,673,1341,601,1168,72,173,498,551,122,571,693,263,52,62,167,171,1916,0.502,0.515,0.416,0.529,0.904,0.605
36,Charles Barkley,1988-89,25,PHI,NBA,16.1,79,79,3088,700,1208,665,1046,35,162,602,799,403,583,986,325,126,67,254,262,2037,0.579,0.636,0.216,0.594,0.753,0.653
37,Kevin Durant,2009-10,21,OKC,NBA,16.1,82,82,3239,794,1668,666,1317,128,351,756,840,105,518,623,231,112,84,271,171,2472,0.476,0.506,0.365,0.514,0.9,0.607
38,Kevin Garnett,2004-05,28,MIN,NBA,16.1,82,82,3121,683,1360,677,1335,6,25,445,549,247,861,1108,466,121,112,222,207,1817,0.502,0.507,0.24,0.504,0.811,0.567
39,Magic Johnson,1988-89,29,LAL,NBA,16.1,77,77,2886,579,1137,520,949,59,188,513,563,111,496,607,988,138,22,312,172,1730,0.509,0.548,0.314,0.535,0.911,0.625
40,Tracy McGrady,2002-03,23,ORL,NBA,16.1,75,74,2954,829,1813,656,1365,173,448,576,726,121,367,488,411,124,59,195,156,2407,0.457,0.481,0.386,0.505,0.793,0.564
41,Dirk Nowitzki,2002-03,24,DAL,NBA,16.1,80,80,3117,690,1489,542,1099,148,390,483,548,81,710,791,239,111,82,152,206,2011,0.463,0.493,0.379,0.513,0.881,0.581
42,Chris Paul,2014-15,29,LAC,NBA,16.1,82,82,2857,568,1170,429,821,139,349,289,321,52,324,376,838,156,15,190,203,1564,0.485,0.523,0.398,0.545,0.9,0.596
43,LeBron James,2013-14,29,MIA,NBA,15.9,77,77,2902,767,1353,651,1047,116,306,439,585,81,452,533,488,121,26,270,126,2089,0.567,0.622,0.379,0.61,0.75,0.649
44,Magic Johnson,1986-87,27,LAL,NBA,15.9,80,80,2904,683,1308,675,1269,8,39,535,631,122,382,504,977,138,36,300,168,1909,0.522,0.532,0.205,0.525,0.848,0.602
45,Karl Malone,1989-90,26,UTA,NBA,15.9,82,82,3122,914,1627,898,1584,16,43,696,913,232,679,911,226,121,50,304,259,2540,0.562,0.567,0.372,0.567,0.762,0.626
46,Larry Bird,1985-86,29,BOS,NBA,15.8,82,81,3113,796,1606,714,1412,82,194,441,492,190,615,805,557,166,51,266,182,2115,0.496,0.506,0.423,0.521,0.896,0.58
47,Michael Jordan,1997-98,34,CHI,NBA,15.8,82,82,3181,881,1893,851,1767,30,126,565,721,130,345,475,283,141,45,185,151,2357,0.465,0.482,0.238,0.473,0.784,0.533
48,Hakeem Olajuwon,1992-93,30,HOU,NBA,15.8,82,82,3242,848,1603,848,1595,0,8,444,570,283,785,1068,291,150,342,262,305,2140,0.529,0.532,0,0.529,0.779,0.577
49,Larry Bird,1984-85,28,BOS,NBA,15.7,80,77,3161,918,1760,862,1629,56,131,403,457,164,678,842,531,129,98,248,208,2295,0.522,0.529,0.427,0.538,0.882,0.585
50,Stephen Curry,2014-15,26,GSW,NBA,15.7,80,80,2613,653,1341,367,695,286,646,308,337,56,285,341,619,163,16,249,158,1900,0.487,0.528,0.443,0.594,0.914,0.638
51,Kevin Garnett,2002-03,26,MIN,NBA,15.6,82,82,3321,743,1481,723,1410,20,71,377,502,244,858,1102,495,113,129,229,199,1883,0.502,0.513,0.282,0.508,0.751,0.553
52,LeBron James,2010-11,26,MIA,NBA,15.6,79,79,3063,758,1485,666,1206,92,279,503,663,80,510,590,554,124,50,284,163,2111,0.51,0.552,0.33,0.541,0.759,0.594
53,Dirk Nowitzki,2004-05,26,DAL,NBA,15.6,78,78,3020,663,1445,572,1217,91,228,615,708,96,661,757,240,97,119,176,219,2032,0.459,0.47,0.399,0.49,0.869,0.578
54,John Stockton,1988-89,26,UTA,NBA,15.6,82,82,3171,497,923,481,857,16,66,390,452,83,165,248,1118,263,14,308,241,1400,0.538,0.561,0.242,0.547,0.863,0.624
55,Chauncey Billups,2005-06,29,DET,NBA,15.5,81,81,2925,423,1012,239,587,184,425,465,520,41,211,252,699,71,8,170,160,1495,0.418,0.407,0.433,0.509,0.894,0.602
56,Karl Malone,1990-91,27,UTA,NBA,15.5,82,82,3302,847,1608,843,1594,4,14,684,888,236,731,967,270,89,79,244,268,2382,0.527,0.529,0.286,0.528,0.77,0.596
57,Magic Johnson,1990-91,31,LAL,NBA,15.4,79,79,2933,466,976,386,726,80,250,519,573,105,446,551,989,102,17,314,150,1531,0.477,0.532,0.32,0.518,0.906,0.623
58,Karl Malone,1992-93,29,UTA,NBA,15.4,82,82,3099,797,1443,793,1423,4,20,619,836,227,692,919,308,124,85,240,261,2217,0.552,0.557,0.2,0.554,0.74,0.612
59,Kobe Bryant,2005-06,27,LAL,NBA,15.3,80,80,3277,978,2173,798,1655,180,518,696,819,71,354,425,360,147,30,250,233,2832,0.45,0.482,0.347,0.491,0.85,0.559
60,Karl Malone,1999-00,36,UTA,NBA,15.3,82,82,2947,752,1476,750,1468,2,8,589,739,169,610,779,304,79,71,231,229,2095,0.509,0.511,0.25,0.51,0.797,0.582
61,Larry Bird,1986-87,30,BOS,NBA,15.2,74,73,3005,786,1497,696,1272,90,225,414,455,124,558,682,566,135,70,240,185,2076,0.525,0.547,0.4,0.555,0.91,0.612
62,LeBron James,2007-08,23,CLE,NBA,15.2,75,74,3027,794,1642,681,1283,113,359,549,771,133,459,592,539,138,81,255,165,2250,0.484,0.531,0.315,0.518,0.712,0.568
63,Karl Malone,1988-89,25,UTA,NBA,15.2,80,80,3126,809,1559,804,1543,5,16,703,918,259,594,853,219,144,70,285,286,2326,0.519,0.521,0.313,0.521,0.766,0.592
64,Karl Malone,1991-92,28,UTA,NBA,15.1,81,81,3054,798,1516,795,1499,3,17,673,865,225,684,909,241,108,51,248,226,2272,0.526,0.53,0.176,0.527,0.778,0.599
65,Karl Malone,1995-96,32,UTA,NBA,15.1,82,82,3113,789,1520,773,1480,16,40,512,708,175,629,804,345,138,56,199,245,2106,0.519,0.522,0.4,0.524,0.723,0.575
66,David Robinson,1989-90,24,SAS,NBA,15.1,82,81,3002,690,1300,690,1298,0,2,613,837,303,680,983,164,138,319,257,259,1993,0.531,0.532,0,0.531,0.732,0.597
67,Larry Bird,1987-88,31,BOS,NBA,15,76,75,2965,881,1672,783,1435,98,237,415,453,108,595,703,467,125,57,213,157,2275,0.527,0.546,0.414,0.556,0.916,0.608
68,James Harden,2016-17,27,HOU,NBA,15,81,81,2947,674,1533,412,777,262,756,746,881,95,564,659,907,121,38,464,215,2356,0.44,0.53,0.347,0.525,0.847,0.613
69,Kobe Bryant,2002-03,24,LAL,NBA,14.9,82,82,3401,868,1924,744,1600,124,324,601,713,106,458,564,481,181,67,288,218,2461,0.451,0.465,0.383,0.483,0.843,0.55
70,Shaquille O'Neal,2000-01,28,LAL,NBA,14.9,74,74,2924,813,1422,813,1420,0,2,499,972,291,649,940,277,47,204,218,256,2125,0.572,0.573,0,0.572,0.513,0.574
71,Elton Brand,2005-06,26,LAC,NBA,14.8,79,79,3099,756,1435,755,1432,1,3,440,568,236,554,790,208,81,201,173,227,1953,0.527,0.527,0.333,0.527,0.775,0.58
72,Kevin McHale,1986-87,29,BOS,NBA,14.8,77,77,3060,790,1307,790,1303,0,4,428,512,247,516,763,198,38,172,197,240,2008,0.604,0.606,0,0.604,0.836,0.655
73,Pau Gasol,2010-11,30,LAL,NBA,14.7,82,82,3037,593,1120,592,1117,1,3,354,430,268,568,836,273,48,130,142,203,1541,0.529,0.53,0.333,0.53,0.823,0.589
74,Dwyane Wade,2008-09,27,MIA,NBA,14.7,79,79,3048,854,1739,766,1461,88,278,590,771,89,309,398,589,173,106,272,178,2386,0.491,0.524,0.317,0.516,0.765,0.574
75,Grant Hill,1996-97,24,DET,NBA,14.6,80,80,3147,625,1259,615,1226,10,33,450,633,123,598,721,583,144,48,259,186,1710,0.496,0.502,0.303,0.5,0.711,0.556
76,Shawn Marion,2005-06,27,PHO,NBA,14.6,81,81,3263,716,1365,620,1075,96,290,241,298,249,710,959,143,160,137,125,223,1769,0.525,0.577,0.331,0.56,0.809,0.591
77,Dirk Nowitzki,2000-01,22,DAL,NBA,14.6,82,82,3125,591,1247,440,857,151,390,451,538,119,635,754,173,79,101,156,245,1784,0.474,0.513,0.387,0.534,0.838,0.601
78,Amar'e Stoudemire,2004-05,22,PHO,NBA,14.6,80,80,2889,747,1336,744,1320,3,16,583,795,219,494,713,131,77,130,189,278,2080,0.559,0.564,0.188,0.56,0.733,0.617
79,Amar'e Stoudemire,2007-08,25,PHO,NBA,14.6,79,79,2677,714,1211,709,1180,5,31,556,691,178,541,719,118,64,163,174,294,1989,0.59,0.601,0.161,0.592,0.805,0.656
80,Kevin Durant,2015-16,27,OKC,NBA,14.5,72,72,2578,698,1381,512,900,186,481,447,498,45,544,589,361,69,85,250,137,2029,0.505,0.569,0.387,0.573,0.898,0.634
81,LeBron James,2011-12,27,MIA,NBA,14.5,62,62,2326,621,1169,567,1020,54,149,387,502,94,398,492,387,115,50,213,96,1683,0.531,0.556,0.362,0.554,0.771,0.605
82,Charles Barkley,1992-93,29,PHO,NBA,14.4,76,76,2859,716,1376,649,1156,67,220,445,582,237,691,928,385,119,74,233,196,1944,0.52,0.561,0.305,0.545,0.765,0.596
83,Anfernee Hardaway,1995-96,24,ORL,NBA,14.4,82,82,3015,623,1215,534,932,89,283,445,580,129,225,354,582,166,41,229,160,1780,0.513,0.573,0.314,0.549,0.767,0.605
84,Dwight Howard,2010-11,25,ORL,NBA,14.4,78,78,2935,619,1044,619,1037,0,7,546,916,309,789,1098,107,107,186,279,258,1784,0.593,0.597,0,0.593,0.596,0.616
85,John Stockton,1989-90,27,UTA,NBA,14.4,78,78,2915,472,918,425,805,47,113,354,432,57,149,206,1134,207,18,272,233,1345,0.514,0.528,0.416,0.54,0.819,0.607
86,Dwyane Wade,2005-06,24,MIA,NBA,14.4,75,75,2892,699,1413,686,1337,13,76,629,803,107,323,430,503,146,58,268,217,2040,0.495,0.513,0.171,0.499,0.783,0.577
87,Rudy Gobert,2016-17,24,UTA,NBA,14.3,81,81,2744,413,625,413,624,0,1,311,476,314,721,1035,97,49,214,147,246,1137,0.661,0.662,0,0.661,0.653,0.681
88,LeBron James,2004-05,20,CLE,NBA,14.3,80,80,3388,795,1684,687,1376,108,308,477,636,111,477,588,577,177,52,262,146,2175,0.472,0.499,0.351,0.504,0.75,0.554
89,Kevin Love,2013-14,25,MIN,NBA,14.3,77,77,2797,650,1421,460,916,190,505,520,633,224,739,963,341,59,35,196,136,2010,0.457,0.502,0.376,0.524,0.821,0.591
90,Hakeem Olajuwon,1993-94,31,HOU,NBA,14.3,80,80,3277,894,1694,886,1675,8,19,388,542,229,726,955,287,128,297,271,289,2184,0.528,0.529,0.421,0.53,0.716,0.565
91,John Stockton,1987-88,25,UTA,NBA,14.1,82,79,2842,454,791,430,724,24,67,272,324,54,183,237,1128,242,16,262,247,1204,0.574,0.594,0.358,0.589,0.84,0.645
92,Anthony Davis,2014-15,21,NOP,NBA,14,68,68,2455,642,1199,641,1187,1,12,371,461,173,523,696,149,100,200,95,141,1656,0.535,0.54,0.083,0.536,0.805,0.591
93,Michael Jordan,1984-85,21,CHI,NBA,14,82,82,3144,837,1625,828,1573,9,52,630,746,167,367,534,481,196,69,291,285,2313,0.515,0.526,0.173,0.518,0.845,0.592
94,Shaquille O'Neal,1994-95,22,ORL,NBA,14,79,79,2923,930,1594,930,1589,0,5,455,854,328,573,901,214,73,192,204,258,2315,0.583,0.585,0,0.583,0.533,0.588
95,John Stockton,1990-91,28,UTA,NBA,14,82,82,3103,496,978,438,810,58,168,363,434,46,191,237,1164,234,16,298,233,1413,0.507,0.541,0.345,0.537,0.836,0.604
96,Russell Westbrook,2015-16,27,OKC,NBA,14,80,80,2750,656,1444,555,1103,101,341,465,573,145,481,626,834,163,20,342,200,1878,0.454,0.503,0.296,0.489,0.812,0.554
97,Pau Gasol,2008-09,28,LAL,NBA,13.9,81,81,2999,592,1045,591,1043,1,2,343,439,262,518,780,284,52,81,157,172,1528,0.567,0.567,0.5,0.567,0.781,0.617
98,Chris Paul,2010-11,25,NOH,NBA,13.9,80,80,2880,430,928,359,745,71,183,337,384,38,289,327,782,188,5,177,196,1268,0.463,0.482,0.388,0.502,0.878,0.578
99,Chris Paul,2012-13,27,LAC,NBA,13.9,70,70,2335,412,856,336,624,76,232,286,323,53,209,262,678,169,10,159,143,1186,0.481,0.538,0.328,0.526,0.885,0.594
100,Gary Payton,1999-00,31,SEA,NBA,13.9,82,82,3425,747,1666,570,1146,177,520,311,423,100,429,529,732,153,18,224,178,1982,0.448,0.497,0.34,0.502,0.735,0.535
101,David Robinson,1991-92,26,SAS,NBA,13.9,68,68,2564,592,1074,591,1066,1,8,393,561,261,568,829,181,158,305,182,219,1578,0.551,0.554,0.125,0.552,0.701,0.597
102,John Stockton,1994-95,32,UTA,NBA,13.9,82,82,2867,429,791,327,564,102,227,246,306,57,194,251,1011,194,22,267,215,1206,0.542,0.58,0.449,0.607,0.804,0.651
103,Kobe Bryant,2007-08,29,LAL,NBA,13.8,82,82,3192,775,1690,625,1275,150,415,623,742,94,423,517,441,151,40,257,227,2323,0.459,0.49,0.361,0.503,0.84,0.576
104,Jimmy Butler,2016-17,27,CHI,NBA,13.8,76,75,2809,570,1252,479,1004,91,248,585,676,129,341,470,417,143,32,159,112,1816,0.455,0.477,0.367,0.492,0.865,0.586
105,Dwight Howard,2008-09,23,ORL,NBA,13.8,79,79,2821,560,979,560,977,0,2,504,849,336,757,1093,112,77,231,240,270,1624,0.572,0.573,0,0.572,0.594,0.6
106,Karl Malone,1994-95,31,UTA,NBA,13.8,82,82,3126,830,1548,819,1507,11,41,516,695,156,715,871,285,129,85,236,269,2187,0.536,0.543,0.268,0.54,0.742,0.59
107,David Robinson,1997-98,32,SAS,NBA,13.8,73,73,2457,544,1065,543,1061,1,4,485,660,239,536,775,199,64,192,202,204,1574,0.511,0.512,0.25,0.511,0.735,0.581
108,Ray Allen,2000-01,25,MIL,NBA,13.7,82,82,3129,628,1309,426,842,202,467,348,392,101,327,428,374,124,20,204,192,1806,0.48,0.506,0.433,0.557,0.888,0.61
109,LeBron James,2006-07,22,CLE,NBA,13.7,78,78,3190,772,1621,673,1311,99,310,489,701,83,443,526,470,125,55,250,171,2132,0.476,0.513,0.319,0.507,0.698,0.552
110,Kawhi Leonard,2015-16,24,SAS,NBA,13.7,72,72,2380,551,1090,422,799,129,291,292,334,95,398,493,186,128,71,105,133,1523,0.506,0.528,0.443,0.565,0.874,0.616
111,Gilbert Arenas,2005-06,24,WAS,NBA,13.6,80,80,3384,746,1668,547,1128,199,540,655,799,59,221,280,484,161,25,297,286,2346,0.447,0.485,0.369,0.507,0.82,0.581
112,LeBron James,2015-16,31,CLE,NBA,13.6,76,76,2709,737,1416,650,1134,87,282,359,491,111,454,565,514,104,49,249,143,1920,0.52,0.573,0.309,0.551,0.731,0.588
113,Kawhi Leonard,2016-17,25,SAS,NBA,13.6,74,74,2474,636,1312,489,925,147,387,469,533,80,350,430,260,133,55,154,122,1888,0.485,0.529,0.38,0.541,0.88,0.61
114,John Stockton,1996-97,34,UTA,NBA,13.6,82,82,2896,416,759,340,579,76,180,275,325,45,183,228,860,166,15,248,194,1183,0.548,0.587,0.422,0.598,0.846,0.656
115,Patrick Ewing,1989-90,27,NYK,NBA,13.5,82,82,3165,922,1673,921,1669,1,4,502,648,235,658,893,182,78,327,278,325,2347,0.551,0.552,0.25,0.551,0.775,0.599
116,Brandon Roy,2008-09,24,POR,NBA,13.5,78,78,2903,633,1318,550,1098,83,220,416,505,104,266,370,400,88,22,152,127,1765,0.48,0.501,0.377,0.512,0.824,0.573
117,Peja Stojakovic,2003-04,26,SAC,NBA,13.5,81,81,3264,665,1386,425,832,240,554,394,425,91,417,508,173,108,14,153,159,1964,0.48,0.511,0.433,0.566,0.927,0.624
118,Charles Barkley,1990-91,27,PHI,NBA,13.4,67,67,2498,665,1167,621,1012,44,155,475,658,258,422,680,284,110,33,210,173,1849,0.57,0.614,0.284,0.589,0.722,0.635
119,Stephen Curry,2013-14,25,GSW,NBA,13.4,78,78,2846,652,1383,391,768,261,615,308,348,46,288,334,666,128,14,294,194,1873,0.471,0.509,0.424,0.566,0.885,0.61
120,Karl Malone,1993-94,30,UTA,NBA,13.4,82,82,3329,772,1552,764,1520,8,32,511,736,235,705,940,328,125,126,234,268,2063,0.497,0.503,0.25,0.5,0.694,0.55
121,Dirk Nowitzki,2001-02,23,DAL,NBA,13.4,76,76,2891,600,1258,461,908,139,350,440,516,120,635,755,186,83,77,145,222,1779,0.477,0.508,0.397,0.532,0.853,0.599
122,John Stockton,1991-92,29,UTA,NBA,13.4,82,82,3002,453,939,370,735,83,204,308,366,68,202,270,1126,244,22,286,234,1297,0.482,0.503,0.407,0.527,0.842,0.59
123,Clyde Drexler,1987-88,25,POR,NBA,13.2,81,80,3060,849,1679,838,1627,11,52,476,587,261,272,533,467,203,52,236,250,2185,0.506,0.515,0.212,0.509,0.811,0.564
124,Tim Duncan,2000-01,24,SAS,NBA,13.2,82,82,3174,702,1406,695,1379,7,27,409,662,259,738,997,245,70,192,242,247,1820,0.499,0.504,0.259,0.502,0.618,0.536
125,Dwight Howard,2009-10,24,ORL,NBA,13.2,82,82,2843,510,834,510,827,0,7,483,816,284,798,1082,144,75,228,274,287,1503,0.612,0.617,0,0.612,0.592,0.63
126,Shaquille O'Neal,2001-02,29,LAL,NBA,13.2,67,66,2422,712,1229,712,1228,0,1,398,717,235,480,715,200,41,137,171,199,1822,0.579,0.58,0,0.579,0.555,0.59
127,Shaquille O'Neal,2002-03,30,LAL,NBA,13.2,67,66,2535,695,1211,695,1211,0,0,451,725,259,483,742,206,38,159,196,229,1841,0.574,0.574,,0.574,0.622,0.602
128,David Robinson,1992-93,27,SAS,NBA,13.2,82,82,3211,676,1348,673,1331,3,17,561,766,229,727,956,301,127,264,241,239,1916,0.501,0.506,0.176,0.503,0.732,0.569
129,John Stockton,1993-94,31,UTA,NBA,13.2,82,82,2969,458,868,410,719,48,149,272,338,72,186,258,1031,199,22,266,236,1236,0.528,0.57,0.322,0.555,0.805,0.608
130,Tim Duncan,2003-04,27,SAS,NBA,13.1,69,68,2527,592,1181,590,1169,2,12,352,588,227,632,859,213,62,185,183,164,1538,0.501,0.505,0.167,0.502,0.599,0.534
131,Karl Malone,2000-01,37,UTA,NBA,13.1,81,81,2895,670,1345,668,1340,2,5,536,676,114,555,669,361,93,62,244,216,1878,0.498,0.499,0.4,0.499,0.793,0.572
132,Scottie Pippen,1996-97,31,CHI,NBA,13.1,82,82,3095,648,1366,492,942,156,424,204,291,160,371,531,467,154,45,214,213,1656,0.474,0.522,0.368,0.531,0.701,0.554
133,Derrick Rose,2010-11,22,CHI,NBA,13.1,81,81,3026,711,1597,583,1212,128,385,476,555,81,249,330,623,85,51,278,136,2026,0.445,0.481,0.332,0.485,0.858,0.55
134,Russell Westbrook,2016-17,28,OKC,NBA,13.1,81,81,2802,824,1941,624,1358,200,583,710,840,137,727,864,840,132,31,438,190,2558,0.425,0.459,0.343,0.476,0.845,0.554
135,Kobe Bryant,2006-07,28,LAL,NBA,13,77,77,3140,813,1757,676,1359,137,398,667,768,75,364,439,413,111,36,255,205,2430,0.463,0.497,0.344,0.502,0.868,0.58
136,Tim Duncan,2006-07,30,SAS,NBA,13,80,80,2726,618,1131,617,1122,1,9,362,568,213,633,846,273,66,190,224,203,1599,0.546,0.55,0.111,0.547,0.637,0.579
137,Tim Duncan,1999-00,23,SAS,NBA,13,74,74,2875,628,1281,627,1270,1,11,459,603,262,656,918,234,66,165,242,210,1716,0.49,0.494,0.091,0.491,0.761,0.555
138,Patrick Ewing,1991-92,29,NYK,NBA,13,82,82,3150,796,1525,795,1519,1,6,377,511,228,693,921,156,88,245,209,277,1970,0.522,0.523,0.167,0.522,0.738,0.563
139,John Stockton,1995-96,33,UTA,NBA,13,82,82,2915,440,818,345,593,95,225,234,282,54,172,226,916,140,15,246,207,1209,0.538,0.582,0.422,0.596,0.83,0.642
140,Dwyane Wade,2009-10,28,MIA,NBA,13,77,77,2792,719,1511,646,1268,73,243,534,702,107,266,373,501,142,82,252,181,2045,0.476,0.509,0.3,0.5,0.761,0.562
141,Vince Carter,2000-01,24,TOR,NBA,12.9,75,75,2979,762,1656,600,1259,162,397,384,502,176,240,416,291,114,82,167,205,2070,0.46,0.477,0.408,0.509,0.765,0.551
142,Kevin Garnett,2007-08,31,BOS,NBA,12.9,71,71,2328,534,990,534,979,0,11,269,336,135,520,655,244,100,89,138,163,1337,0.539,0.545,0,0.539,0.801,0.588
143,Tim Hardaway,1996-97,30,MIA,NBA,12.9,81,81,3136,575,1384,372,794,203,590,291,364,49,228,277,695,151,9,230,165,1644,0.415,0.469,0.344,0.489,0.799,0.532
